country_name;country_border_name
Montenegro;Albania
Montenegro;Bosnia and Herzegovina
Montenegro;Croatia
Montenegro;Serbia
North Macedonia;Albania
North Macedonia;Bulgaria
North Macedonia;Greece
North Macedonia;Serbia
Mali;Algeria
Mali;Burkina Faso
Mali;Ivory Coast
Mali;Guinea
Mali;Mauritania
Mali;Niger
Mali;Senegal
Myanmar;Bangladesh
Myanmar;China
Myanmar;India
Myanmar;Lao People's Democratic Republic
Myanmar;Thailand
Mongolia;China
Mongolia;Russian Federation
Macao;China
Mauritania;Algeria
Mauritania;Mali
Mauritania;Senegal
Mauritania;Western Sahara
Malawi;Mozambique
Malawi;Tanzania
Malawi;Zambia
Mexico;Belize
Mexico;Guatemala
Mexico;United States of America
Malaysia;Brunei Darussalam
Malaysia;Indonesia
Malaysia;Thailand
Mozambique;Malawi
Mozambique;Eswatini
Mozambique;South Africa
Mozambique;Tanzania
Mozambique;Zambia
Mozambique;Zimbabwe
Namibia;Angola
Namibia;Botswana
Namibia;South Africa
Namibia;Zambia
Niger;Algeria
Niger;Benin
Niger;Burkina Faso
Niger;Chad
Niger;Libya
Niger;Mali
Niger;Nigeria
Nigeria;Benin
Nigeria;Cameroon
Nigeria;Chad
Nigeria;Niger
Nicaragua;Costa Rica
Nicaragua;Honduras
Netherlands;Belgium
Netherlands;Germany
Norway;Finland
Norway;Russian Federation
Norway;Sweden
Nepal;China
Nepal;India
Oman;United Arab Emirates
Oman;Saudi Arabia
Oman;Yemen
Panama;Colombia
Panama;Costa Rica
Peru;Bolivia
Peru;Brazil
Peru;Chile
Peru;Colombia
Peru;Ecuador
Papua New Guinea;Indonesia
Pakistan;Afghanistan
Pakistan;China
Pakistan;India
Pakistan;Iran
Poland;Belarus
Poland;Czechia
Poland;Germany
Poland;Lithuania
Poland;Russian Federation
Poland;Slovakia
Poland;Ukraine
Palestine;Egypt
Palestine;Israel
Palestine;Jordan
Portugal;Spain
Paraguay;Argentina
Paraguay;Bolivia
Paraguay;Brazil
Qatar;Saudi Arabia
Romania;Bulgaria
Romania;Hungary
Romania;Moldova
Romania;Serbia
Romania;Ukraine
Serbia;Albania
Serbia;Bosnia and Herzegovina
Serbia;Bulgaria
Serbia;Croatia
Serbia;Hungary
Serbia;Montenegro
Serbia;North Macedonia
Serbia;Romania
Russian Federation;Azerbaijan
Russian Federation;Belarus
Russian Federation;China
Russian Federation;Estonia
Russian Federation;Finland
Russian Federation;Georgia
Russian Federation;Kazakhstan
Russian Federation;North Korea
Russian Federation;Latvia
Russian Federation;Lithuania
Russian Federation;Mongolia
Russian Federation;Norway
Russian Federation;Poland
Russian Federation;Ukraine
Rwanda;Burundi
Rwanda;Democratic Republic of the Congo
Rwanda;Tanzania
Rwanda;Uganda
Saudi Arabia;Iraq
Saudi Arabia;Jordan
Saudi Arabia;Kuwait
Saudi Arabia;Oman
Saudi Arabia;Qatar
Saudi Arabia;United Arab Emirates
Saudi Arabia;Yemen
Sudan;Central African Republic
Sudan;Chad
Sudan;Egypt
Sudan;Ethiopia
Sudan;Eritrea
Sudan;Libya
Sudan;South Sudan
Sweden;Finland
Sweden;Norway
Slovenia;Austria
Slovenia;Croatia
Slovenia;Hungary
Slovenia;Italy
Slovakia;Austria
Slovakia;Czechia
Slovakia;Hungary
Slovakia;Poland
Slovakia;Ukraine
Sierra Leone;Guinea
Sierra Leone;Liberia
San Marino;Italy
Senegal;Gambia
Senegal;Guinea
Senegal;Guinea-Bissau
Senegal;Mali
Senegal;Mauritania
Somalia;Djibouti
Somalia;Ethiopia
Somalia;Kenya
Suriname;Brazil
Suriname;French Guiana
Suriname;Guyana
South Sudan;Central African Republic
South Sudan;Democratic Republic of the Congo
South Sudan;Ethiopia
South Sudan;Kenya
South Sudan;Sudan
South Sudan;Uganda
El Salvador;Guatemala
El Salvador;Honduras
Syrian Arab Republic;Iraq
Syrian Arab Republic;Israel
Syrian Arab Republic;Jordan
Syrian Arab Republic;Lebanon
Syrian Arab Republic;Turkey
Eswatini;Mozambique
Eswatini;South Africa
Chad;Cameroon
Chad;Central African Republic
Chad;Libya
Chad;Niger
Chad;Nigeria
Chad;Sudan
Togo;Benin
Togo;Burkina Faso
Togo;Ghana
Thailand;Cambodia
Thailand;Lao People's Democratic Republic
Thailand;Malaysia
Thailand;Myanmar
Tajikistan;Afghanistan
Tajikistan;China
Tajikistan;Kyrgyzstan
Tajikistan;Uzbekistan
Timor-Leste;Indonesia
Turkmenistan;Afghanistan
Turkmenistan;Iran
Turkmenistan;Kazakhstan
Turkmenistan;Uzbekistan
Tunisia;Algeria
Tunisia;Libya
Turkey;Armenia
Turkey;Azerbaijan
Turkey;Bulgaria
Turkey;Georgia
Turkey;Greece
Turkey;Iran
Turkey;Iraq
Turkey;Syrian Arab Republic
Tanzania;Burundi
Tanzania;Democratic Republic of the Congo
Tanzania;Kenya
Tanzania;Malawi
Tanzania;Mozambique
Tanzania;Rwanda
Tanzania;Uganda
Tanzania;Zambia
Ukraine;Belarus
Ukraine;Hungary
Ukraine;Moldova
Ukraine;Poland
Ukraine;Romania
Ukraine;Russian Federation
Ukraine;Slovakia
Uganda;Democratic Republic of the Congo
Uganda;Kenya
Uganda;Rwanda
Uganda;South Sudan
Uganda;Tanzania
United States of America;Canada
United States of America;Mexico
Uruguay;Argentina
Uruguay;Brazil
Uzbekistan;Afghanistan
Uzbekistan;Kazakhstan
Uzbekistan;Kyrgyzstan
Uzbekistan;Tajikistan
Uzbekistan;Turkmenistan
Holy See;Italy
Venezuela;Brazil
Venezuela;Colombia
Venezuela;Guyana
Viet Nam;Cambodia
Viet Nam;China
Viet Nam;Lao People's Democratic Republic
Yemen;Oman
Yemen;Saudi Arabia
South Africa;Botswana
South Africa;Lesotho
South Africa;Mozambique
South Africa;Namibia
South Africa;Eswatini
South Africa;Zimbabwe
Zambia;Angola
Zambia;Botswana
Zambia;Democratic Republic of the Congo
Zambia;Malawi
Zambia;Mozambique
Zambia;Namibia
Zambia;Tanzania
Zambia;Zimbabwe
Zimbabwe;Botswana
Zimbabwe;Mozambique
Zimbabwe;South Africa
Zimbabwe;Zambia
